,Sentiment
306009,Positive
261504,Positive
203129,Positive
12340,Positive
220380,Positive
126649,Positive
52110,Negative
488913,Positive
196291,Positive
294458,Negative
51888,Negative
399512,Positive
71265,Positive
115506,Negative
284701,Positive
230804,Positive
192861,Positive
68155,Negative
171517,Positive
63461,Positive
97883,Negative
15984,Positive
198051,Positive
155724,Negative
270692,Positive
76677,Positive
101019,Positive
236338,Negative
492268,Negative
16422,Positive
218441,Positive
56717,Positive
439721,Positive
265435,Negative
10979,Negative
87473,Negative
156254,Negative
479143,Negative
294047,Positive
168890,Negative
183360,Positive
247174,Positive
309649,Negative
227447,Positive
117686,Positive
92584,Negative
496023,Negative
118427,Positive
90,Negative
511439,Positive
452416,Negative
110684,Positive
382589,Negative
282617,Positive
176271,Negative
263609,Positive
319697,Negative
242040,Positive
157851,Negative
390766,Positive
86513,Positive
201083,Negative
276007,Negative
497939,Negative
20427,Positive
227621,Positive
184132,Positive
376861,Negative
92993,Negative
177682,Negative
369787,Positive
160709,Positive
369289,Positive
280222,Negative
90858,Positive
165734,Positive
488184,Positive
111947,Negative
355548,Negative
257912,Positive
211904,Positive
233942,Positive
344602,Negative
302990,Negative
129798,Negative
498518,Positive
154342,Negative
461077,Negative
293274,Negative
114189,Positive
374906,Positive
170074,Positive
217203,Negative
172489,Positive
283801,Positive
83857,Negative
51776,Positive
378521,Positive
299631,Negative
346501,Negative
339246,Positive
131565,Negative
216651,Positive
372754,Negative
448256,Negative
11011,Positive
361048,Negative
273735,Negative
202606,Negative
478546,Positive
438985,Positive
389660,Negative
507165,Positive
201386,Negative
34542,Positive
483549,Negative
258653,Negative
43650,Positive
204787,Negative
320925,Negative
253480,Positive
60358,Negative
496393,Positive
247048,Positive
162738,Positive
119134,Negative
26405,Negative
195896,Negative
395222,Positive
91779,Negative
75755,Negative
205886,Negative
359461,Negative
63354,Positive
440724,Positive
505445,Positive
147009,Negative
123574,Negative
432944,Positive
376582,Positive
459574,Negative
369398,Positive
205108,Negative
451825,Positive
380616,Positive
510007,Positive
255432,Negative
256265,Positive
265813,Positive
391616,Positive
138290,Negative
229876,Positive
208930,Positive
88578,Positive
251080,Positive
281015,Positive
116219,Negative
475844,Positive
259159,Positive
330807,Positive
112965,Negative
265788,Positive
88971,Positive
174329,Negative
467020,Negative
364516,Negative
106673,Negative
286827,Positive
308844,Negative
494213,Positive
20049,Positive
230572,Negative
497239,Negative
385188,Positive
337737,Negative
478390,Negative
64120,Negative
435667,Positive
236404,Positive
417903,Positive
494837,Negative
242116,Positive
219060,Positive
515460,Negative
488235,Positive
497536,Positive
145138,Positive
497727,Negative
154344,Positive
413526,Negative
304275,Positive
442678,Negative
155510,Negative
499183,Positive
143173,Positive
351026,Negative
415270,Positive
430060,Positive
465669,Positive
488897,Negative
159505,Positive
250431,Positive
205066,Positive
114959,Negative
201654,Positive
330588,Positive
499368,Positive
303141,Positive
475976,Negative
486909,Negative
351742,Positive
113449,Positive
91610,Negative
173321,Positive
445772,Positive
4613,Positive
64257,Negative
227167,Negative
245522,Negative
242100,Positive
34797,Negative
110664,Positive
500629,Negative
444500,Positive
257790,Negative
45625,Positive
213329,Positive
311135,Positive
486358,Negative
198996,Positive
447592,Positive
254275,Negative
53912,Positive
431789,Positive
265175,Negative
175662,Negative
445213,Negative
123869,Positive
341871,Positive
202056,Positive
442139,Negative
323466,Negative
301883,Positive
336375,Negative
235138,Positive
256997,Positive
77159,Positive
268230,Positive
292854,Positive
197800,Positive
166950,Positive
94563,Positive
230885,Negative
218070,Positive
210084,Negative
202770,Negative
132171,Negative
455934,Positive
271068,Positive
354080,Negative
3137,Positive
472267,Negative
146771,Negative
164733,Negative
446584,Positive
395474,Positive
242825,Negative
441916,Positive
122277,Positive
145541,Negative
157957,Negative
46230,Negative
376509,Negative
37501,Positive
404203,Positive
228151,Positive
318009,Positive
379955,Negative
201884,Negative
458548,Positive
13761,Positive
444892,Positive
475350,Positive
365883,Positive
132151,Positive
445317,Negative
173523,Positive
70742,Negative
368386,Negative
131050,Negative
112777,Negative
144327,Positive
161303,Negative
60989,Positive
114151,Negative
445159,Negative
382711,Negative
356912,Negative
278445,Negative
258913,Positive
10745,Positive
19421,Positive
92546,Positive
324428,Positive
248923,Positive
357415,Negative
14936,Positive
144114,Positive
152102,Negative
393305,Negative
194318,Positive
275306,Negative
415412,Negative
9545,Positive
131685,Negative
68387,Negative
227082,Negative
158547,Positive
454407,Positive
46034,Positive
134137,Negative
188631,Negative
55046,Negative
413060,Positive
126034,Positive
459036,Positive
232909,Negative
160288,Negative
65820,Positive
359522,Negative
98458,Positive
162517,Negative
334036,Negative
42443,Positive
475546,Positive
496965,Negative
174214,Negative
401085,Positive
390362,Positive
187340,Positive
507923,Negative
261025,Positive
100353,Negative
334995,Positive
111110,Positive
356967,Positive
2451,Negative
319942,Positive
288659,Positive
368677,Positive
325166,Negative
297953,Negative
347836,Positive
388244,Positive
505770,Negative
74138,Negative
76924,Positive
105869,Negative
215333,Positive
230366,Negative
229205,Positive
150066,Negative
499809,Positive
267944,Positive
214118,Negative
78325,Positive
422793,Negative
280159,Positive
249043,Positive
299028,Positive
339745,Positive
242148,Positive
187151,Positive
59000,Positive
479351,Negative
31684,Positive
215394,Negative
385548,Positive
353641,Positive
355346,Positive
27679,Negative
438117,Negative
200254,Positive
197419,Negative
355206,Positive
466089,Positive
8769,Negative
412135,Negative
484684,Positive
231208,Negative
74424,Positive
91824,Negative
124498,Positive
75952,Positive
125587,Negative
171215,Positive
281715,Positive
4402,Negative
498763,Negative
362916,Negative
333102,Negative
335155,Positive
68377,Negative
207362,Negative
345827,Positive
454033,Positive
10654,Negative
29036,Negative
161628,Negative
444876,Positive
157863,Negative
126126,Negative
110845,Positive
51766,Negative
275507,Negative
379175,Negative
77403,Positive
135960,Negative
237753,Positive
319893,Negative
118394,Positive
396155,Negative
185519,Positive
46109,Positive
438584,Negative
50584,Positive
29827,Positive
392947,Positive
25041,Negative
77938,Positive
335941,Positive
367464,Negative
361199,Positive
198738,Negative
412480,Positive
377010,Positive
73369,Positive
267590,Positive
338583,Positive
320706,Negative
3113,Positive
442796,Negative
70333,Positive
407486,Negative
497573,Negative
3732,Negative
102301,Positive
464924,Positive
66002,Negative
195031,Negative
2945,Negative
164382,Positive
326810,Positive
117796,Negative
91752,Negative
441215,Positive
32641,Positive
91964,Negative
183074,Negative
65594,Negative
179058,Positive
74196,Positive
414928,Positive
453197,Negative
280481,Negative
378466,Positive
54663,Positive
303041,Negative
140265,Positive
182235,Negative
255096,Positive
13222,Positive
241267,Negative
393157,Negative
365526,Positive
444202,Positive
111501,Positive
127946,Negative
510419,Positive
273520,Positive
251715,Negative
119273,Negative
163343,Positive
179914,Negative
423517,Negative
406150,Positive
188433,Positive
123266,Positive
187075,Positive
392361,Positive
263296,Negative
456215,Positive
298532,Positive
46139,Positive
105083,Negative
163063,Negative
241332,Positive
244687,Positive
303789,Negative
487398,Negative
26043,Positive
155065,Negative
94137,Positive
444318,Negative
195811,Negative
69461,Negative
430576,Negative
278654,Negative
243955,Positive
406541,Negative
74727,Positive
291943,Positive
311196,Negative
513042,Negative
120181,Positive
267657,Negative
306855,Negative
236165,Negative
3970,Negative
204908,Negative
165640,Positive
209938,Negative
431365,Positive
406829,Positive
211295,Positive
352323,Positive
165669,Positive
215360,Negative
10883,Positive
477730,Positive
317746,Positive
346207,Positive
467206,Negative
22021,Negative
361442,Negative
379203,Positive
509253,Negative
64349,Negative
50244,Positive
44625,Negative
104892,Negative
476831,Negative
170750,Positive
346728,Negative
64982,Negative
353388,Positive
6874,Positive
91497,Negative
373625,Negative
256692,Negative
52844,Positive
385054,Positive
122946,Positive
323494,Positive
363576,Negative
323836,Positive
407585,Negative
169128,Negative
106622,Positive
275489,Positive
243343,Negative
67845,Negative
196138,Positive
397289,Negative
151642,Positive
137771,Negative
390236,Negative
393821,Positive
256851,Positive
115355,Negative
122487,Negative
131342,Negative
9069,Negative
371282,Negative
53816,Positive
109961,Negative
162753,Negative
445235,Negative
162460,Negative
2724,Positive
90614,Positive
226323,Positive
106238,Negative
132162,Negative
10785,Positive
24870,Negative
9858,Positive
168741,Negative
432828,Negative
342545,Positive
213550,Negative
54532,Positive
376304,Negative
7141,Positive
357125,Negative
183018,Negative
339705,Positive
24568,Negative
410287,Negative
385461,Positive
231903,Positive
414143,Positive
96285,Positive
101791,Negative
229097,Negative
172160,Negative
440797,Positive
435799,Negative
155299,Positive
252102,Positive
91815,Negative
491559,Negative
275794,Negative
398149,Negative
368937,Negative
106579,Negative
103103,Negative
121579,Negative
464376,Positive
220239,Negative
237279,Positive
17597,Positive
363757,Positive
488247,Positive
127615,Positive
349477,Negative
114001,Negative
78304,Negative
104347,Negative
508034,Negative
284984,Positive
318983,Negative
68343,Negative
123661,Negative
69318,Positive
512675,Negative
135528,Negative
43007,Positive
261598,Positive
153079,Positive
478219,Negative
91558,Negative
169546,Negative
186054,Positive
252311,Negative
301359,Negative
479822,Negative
113322,Negative
58860,Positive
